city-city,dist
Vienna-Barcelona,1352.1224923514606
Vienna-Gothenburg,1097.7601674770572
Vienna-Nuremburg,413.6254082677355
Vienna-Braunschweig,614.8416073258052
Vienna-Hanover,661.7206551709701
Vienna-Antwerp,924.4212170481173
Vienna-Brescia,554.2751161995221
Lisbon-Marseille,1320.3188951669977
Lisbon-Cologne,1852.202767842204
Lisbon-Helsinki,3365.7919756540186
Lisbon-Lyon,1390.71594549375
Lisbon-Düsseldorf,1864.587980734048
Lisbon-Warsaw,2764.382808215416
Lisbon-Rotterdam,1808.0376621021169
Lisbon-Prague,2249.7437527457655
Lisbon-Lille,1637.298348503411
Lisbon-Turin,1559.1576209459156
Lisbon-Utrecht,1852.1836049838566
Lisbon-Budapest,2478.2192123237082
Lisbon-Toulouse,1040.9869282929535
Lisbon-Bordeaux,982.9545148244187
Lisbon-Bucharest,2982.4697794552976
Lisbon-Malmö,2496.1890440438106
Lisbon-Nantes,1125.1666801659956
Lisbon-The Hague,1812.0519053339628
Lisbon-Bremen,2105.8096088571365
Lisbon-Bonn,1844.015143897579
Lisbon-Dresden,2252.994409248363
Lisbon-Bologna,1818.0558498328842
Lisbon-London,1585.7475299601897
Lisbon-Valencia,762.994969731244
Lisbon-Naples,2016.5846336030631
Lisbon-Dublin,1640.5202827891098
Lisbon-Athens,2859.1502309669163
Lisbon-Barcelona,1007.7337611666229
Lisbon-Gothenburg,2606.9160003302186
Lisbon-Nuremburg,1999.9015311584274
Lisbon-Braunschweig,2137.8441112640076
Lisbon-Hanover,2103.0841188297272
Lisbon-Antwerp,1746.335155552634
Lisbon-Brescia,1764.526084630902
Marseille-Cologne,857.6786170642619
Marseille-Helsinki,2294.9944003015553
Marseille-Lyon,278.96901763414417
Marseille-Düsseldorf,887.8143107153858
Marseille-Warsaw,1531.7915738901283
Marseille-Rotterdam,961.8404651412783
Marseille-Prague,1025.13374514495
Marseille-Lille,836.5287124672004
Marseille-Turin,269.8126806073112
Marseille-Utrecht,979.5398814783761
Marseille-Budapest,1168.8190899159454
Marseille-Toulouse,319.75096721130285
Marseille-Bordeaux,508.546720075128
Marseille-Bucharest,1666.4283983779471
Marseille-Malmö,1473.4648000067596
Marseille-Nantes,698.4084625181126
Marseille-The Hague,980.5693075919571
Marseille-Bremen,1117.4624379819584
Marseille-Bonn,835.912619369743
Marseille-Dresden,1069.6082108786445
Marseille-Bologna,497.7370845263472
Marseille-London,1002.5806398351996
Marseille-Valencia,641.3385865028667
Marseille-Naples,786.7907275959083
Marseille-Dublin,1409.0281381923808
Marseille-Athens,1656.4816474286558
Marseille-Barcelona,339.06050681743204
Marseille-Gothenburg,1668.7705002566415
Marseille-Nuremburg,812.9719619886798
Marseille-Braunschweig,1069.044175494016
Marseille-Hanover,1060.797988124891
Marseille-Antwerp,884.3825229357765
Marseille-Brescia,459.21930976780504
Cologne-Helsinki,1523.09207545663
Cologne-Lyon,594.8326924113665
Cologne-Düsseldorf,34.180695407128255
Cologne-Warsaw,983.0808573710268
Cologne-Rotterdam,204.05169309083507
Cologne-Prague,541.1617152828844
Cologne-Lille,274.6180352539183
Cologne-Turin,653.7346080945923
Cologne-Utrecht,181.6488633437471
Cologne-Budapest,961.2688062368974
Cologne-Toulouse,912.4299459741453
Cologne-Bordeaux,879.6042471035879
Cologne-Bucharest,1602.55563088362
Cologne-Malmö,657.4311491550102
Cologne-Nantes,747.9282358565115
Cologne-The Hague,225.56733867749298
Cologne-Bremen,270.71311129751115
Cologne-Bonn,25.298283462680732
Cologne-Dresden,477.5840756710169
Cologne-Bologna,787.0147047059613
Cologne-London,497.6370906836544
Cologne-Valencia,1396.4091511499246
Cologne-Naples,1255.8823074698819
Cologne-Dublin,942.2531727454641
Cologne-Athens,1953.8766710835737
Cologne-Barcelona,1122.7656970436035
Cologne-Gothenburg,821.6548606310874
Cologne-Nuremburg,336.16440587229846
Cologne-Braunschweig,288.38385365031223
Cologne-Hanover,250.88137087988412
Cologne-Antwerp,181.23848441916468
Cologne-Brescia,646.3928244367414
Helsinki-Lyon,2078.8167373750925
Helsinki-Düsseldorf,1506.6497161962834
Helsinki-Warsaw,915.2000736428832
Helsinki-Rotterdam,1560.8124346642173
Helsinki-Prague,1303.4538073242336
Helsinki-Lille,1729.8296436907663
Helsinki-Turin,2033.8922726215685
Helsinki-Utrecht,1515.330156062622
Helsinki-Budapest,1461.0199542937414
Helsinki-Toulouse,2424.0561276814183
Helsinki-Bordeaux,2402.3149364469755
Helsinki-Bucharest,1753.3915174300234
Helsinki-Malmö,869.8310273795186
Helsinki-Nantes,2242.91503053274
Helsinki-The Hague,1558.9899757327817
Helsinki-Bremen,1261.16170178697
Helsinki-Bonn,1535.0451696376476
Helsinki-Dresden,1233.0079760682972
Helsinki-Bologna,1966.2725819800041
Helsinki-London,1825.3176490076034
Helsinki-Valencia,2898.580646651401
Helsinki-Naples,2271.1891558602815
Helsinki-Dublin,2030.0847193951886
Helsinki-Athens,2469.6180774202553
Helsinki-Barcelona,2607.6588722685824
Helsinki-Gothenburg,793.4434708436165
Helsinki-Nuremburg,1482.9557346205188
Helsinki-Braunschweig,1250.1425160383371
Helsinki-Hanover,1275.5463312034447
Helsinki-Antwerp,1619.7527981070152
Helsinki-Brescia,1897.0728786275806
Lyon-Düsseldorf,622.7394139235207
Lyon-Warsaw,1380.5253020683565
Lyon-Rotterdam,684.396613679136
Lyon-Prague,864.117977185763
Lyon-Lille,557.9491371102192
Lyon-Turin,235.4610409719735
Lyon-Utrecht,704.0934039112614
Lyon-Budapest,1106.5365938921298
Lyon-Toulouse,358.91340483918333
Lyon-Bordeaux,437.4383721145582
Lyon-Bucharest,1675.630806120511
Lyon-Malmö,1233.9918184239546
Lyon-Nantes,517.8617097340265
Lyon-The Hague,702.6955697278187
Lyon-Bremen,862.0057554058185
Lyon-Bonn,575.0317194304903
Lyon-Dresden,882.4592288660302
Lyon-Bologna,531.1879837595121
Lyon-London,734.4503539378654
Lyon-Valencia,819.8217231097824
Lyon-Naples,942.2390822399235
Lyon-Dublin,1161.296686481289
Lyon-Athens,1785.09160781519
